artist_id,artist_name,rank_listeners,monitored_on
2h93pZq0e7k5yf4dywlkpM,Frank Ocean,127,7/4/2026
4V8LLVI7PbaPR0K2TGSxFF,"Tyler, The Creator",128,7/4/2026
7FNnA9vBm6EKceENgCGRMb,Anitta,129,7/4/2026
4LLpKhyESsyAXpc4laK94U,Mac Miller,130,7/4/2026
0tmwSHipWxN12fsoLcFU3B,Manuel Turizo,131,7/4/2026
3xvaSlT4xsyk6lY1ESOspO,Disney,132,7/4/2026
6olE6TJLqED3rqDCT0FyPh,Nirvana,133,7/4/2026
13ubrt8QOOCPljQ2FL1Kca,Asap Rocky,134,7/4/2026
5p9HO3XC5P3BLxJs5Mtrhm,Djo,135,7/4/2026
5p9HO3XC5P3BLxJs5Mtrhm,J. Cole,136,7/4/2026
2LRoIwlKmHjgvigdNGBHNo,Feid,137,7/4/2026
6XkjpgcEsYab502Vr1bBeW,Grupo Frontera,138,7/4/2026
711MCceyCBcFnzjGY4Q7Un,AC/DC,139,7/4/2026
3Nrfpe0tUJi4K4DXYWgMUX,BTS,140,7/4/2026
5lwmRuXgjX8xIwlnauTZIP,Romeo Santos,141,7/4/2026
1SupJlEpv7RS2tPNRaHViT,Nicky Jam,142,7/4/2026
1mBydYMVBECdDmMfE2sEUO,Sachin Jigar,143,7/4/2026
1KCSPY1glIKqW2TotWuXOR,P!nk,144,7/4/2026
6S2OmqARrzebs0tKUEyXyp,Demi Lovato,145,7/4/2026
2fMqTqiTxUDlmcOEPaQSsx,Amitabh Bhattacharya,146,7/4/2026
7eKkW1zo5uzW8kUntiiBvz,Malcom Todd,147,7/4/2026
4tuJ0bMpJh08umKkEXKUI5,Gracie Abrams,148,7/4/2026
07YZf4WDAMNwqr4jfgOZ8y,Jason Derulo,149,7/4/2026
7c0XG5cIJTrrAgEC3ULPiq,Ty Dolla Sign,150,7/4/2026
0C0XlULifJtAgn6ZNCW2eu,The Killers,151,7/4/2026
3WrFJ7ztbogyGnTHbHJFl2,The Beatles,152,7/4/2026
